style_condition,entity_type,error_type,error_count,gold_entity_count,error_rate
clinical_charting,clinical_status,omission,11,100,0.11
clinical_charting,clinical_status,substitution,1,100,0.01
clinical_charting,device,hallucination,3,136,0.0221
clinical_charting,device,omission,56,136,0.4118
clinical_charting,dose,hallucination,52,100,0.52
clinical_charting,dose,numeric_error,9,100,0.09
clinical_charting,dose,omission,25,100,0.25
clinical_charting,dose,unit_error,3,100,0.03
clinical_charting,frequency,frequency_error,2,99,0.0202
clinical_charting,frequency,omission,59,99,0.596
clinical_charting,intake_output,omission,9,75,0.12
clinical_charting,intake_output,substitution,5,75,0.0667
clinical_charting,intervention,hallucination,11,39,0.2821
clinical_charting,intervention,omission,7,39,0.1795
clinical_charting,medication_identity,medication_identity_error,2,100,0.02
clinical_charting,medication_identity,omission,2,100,0.02
clinical_charting,notification,omission,7,66,0.1061
clinical_charting,notification,substitution,1,66,0.0152
clinical_charting,route,hallucination,16,100,0.16
clinical_charting,route,omission,25,100,0.25
clinical_charting,route,route_error,1,100,0.01
clinical_charting,symptom,hallucination,29,100,0.29
clinical_charting,symptom,omission,7,100,0.07
clinical_charting,symptom,severity_shift,2,100,0.02
clinical_charting,vital_sign,numeric_error,159,500,0.318
clinical_charting,vital_sign,omission,320,500,0.64
formal_template,device,hallucination,1,136,0.0074
formal_template,device,omission,126,136,0.9265
formal_template,dose,hallucination,10,100,0.1
formal_template,dose,numeric_error,36,100,0.36
formal_template,dose,omission,53,100,0.53
formal_template,dose,unit_error,1,100,0.01
formal_template,frequency,frequency_error,1,99,0.0101
formal_template,frequency,omission,85,99,0.8586
formal_template,intake_output,omission,2,75,0.0267
formal_template,intake_output,substitution,3,75,0.04
formal_template,intervention,hallucination,5,39,0.1282
formal_template,intervention,omission,6,39,0.1538
formal_template,medication_identity,omission,5,100,0.05
formal_template,notification,omission,2,66,0.0303
formal_template,notification,substitution,2,66,0.0303
formal_template,route,omission,87,100,0.87
formal_template,route,route_error,1,100,0.01
formal_template,symptom,hallucination,35,100,0.35
formal_template,symptom,omission,4,100,0.04
formal_template,vital_sign,omission,500,500,1.0
telegraphic_icu,clinical_status,omission,15,100,0.15
telegraphic_icu,clinical_status,substitution,1,100,0.01
telegraphic_icu,device,device_error,3,136,0.0221
telegraphic_icu,device,hallucination,4,136,0.0294
telegraphic_icu,device,omission,63,136,0.4632
telegraphic_icu,dose,hallucination,30,100,0.3
telegraphic_icu,dose,numeric_error,8,100,0.08
telegraphic_icu,dose,omission,43,100,0.43
telegraphic_icu,dose,unit_error,2,100,0.02
telegraphic_icu,frequency,frequency_error,1,99,0.0101
telegraphic_icu,frequency,omission,60,99,0.6061
telegraphic_icu,intake_output,omission,15,75,0.2
telegraphic_icu,intake_output,substitution,4,75,0.0533
telegraphic_icu,intervention,hallucination,9,39,0.2308
telegraphic_icu,intervention,omission,8,39,0.2051
telegraphic_icu,medication_identity,omission,9,100,0.09
telegraphic_icu,notification,omission,13,66,0.197
telegraphic_icu,notification,substitution,1,66,0.0152
telegraphic_icu,route,hallucination,13,100,0.13
telegraphic_icu,route,omission,45,100,0.45
telegraphic_icu,route,route_error,1,100,0.01
telegraphic_icu,symptom,hallucination,26,100,0.26
telegraphic_icu,symptom,omission,11,100,0.11
telegraphic_icu,symptom,severity_shift,2,100,0.02
telegraphic_icu,vital_sign,numeric_error,144,500,0.288
telegraphic_icu,vital_sign,omission,345,500,0.69
