entity_type,device_error,frequency_error,hallucination,medication_identity_error,numeric_error,omission,route_error,severity_shift,substitution,unit_error
clinical_status,0,0,0,0,0,26,0,0,2,0
device,5,0,9,0,0,224,0,0,0,0
dose,0,0,16,0,17,169,0,0,0,9
frequency,0,6,0,0,0,140,0,0,0,0
intake_output,0,0,0,0,0,26,0,0,12,0
intervention,0,0,25,0,0,21,0,0,0,0
medication_identity,0,0,0,2,0,16,0,0,0,0
notification,0,0,0,0,0,22,0,0,4,0
route,0,0,40,0,0,138,6,0,0,0
symptom,0,0,90,0,0,22,0,4,0,0
vital_sign,0,0,0,0,338,621,0,0,0,0
