entity_type,gold_n_formal_template,micro_ccer_formal_template,gold_n_clinical_charting,micro_ccer_clinical_charting,gold_n_telegraphic_icu,micro_ccer_telegraphic_icu
clinical_status,100,0.0,100,0.24,100,0.32
device,136,1.6176,136,0.8897,136,1.0588
dose,100,1.82,100,1.04,100,1.69
frequency,99,0.6869,99,1.1919,99,1.0707
intake_output,75,0.1333,75,0.3733,75,0.5067
intervention,39,0.6923,39,1.2051,39,1.1026
medication_identity,100,0.1,100,0.1,100,0.18
notification,66,0.1212,66,0.2424,66,0.4242
route,100,1.77,100,1.01,100,1.3
symptom,100,1.13,100,1.07,100,1.06
vital_sign,500,0.752,500,1.954,500,1.806
