scenario_id,style_condition,ccer_score_full,ccer_score_excl_boundary_artifacts,n_boundary_artifacts_removed
001,clinical_charting,1.1429,1.1429,0
001,formal_template,1.5714,1.5714,0
001,telegraphic_icu,0.5714,0.5714,0
002,clinical_charting,1.2857,1.2857,0
002,formal_template,1.3571,1.3571,0
002,telegraphic_icu,0.8571,0.8571,0
003,clinical_charting,1.1333,1.1333,0
003,formal_template,1.2667,1.2667,0
003,telegraphic_icu,1.3333,1.3333,0
004,clinical_charting,0.9333,0.9333,0
004,formal_template,1.1333,1.1333,0
004,telegraphic_icu,1.2667,1.2667,0
005,clinical_charting,0.9333,0.9333,0
005,formal_template,1.3333,1.3333,0
005,telegraphic_icu,0.9333,0.9333,0
006,clinical_charting,0.9333,0.9333,0
006,formal_template,1.4,1.4,0
006,telegraphic_icu,0.9333,0.9333,0
007,clinical_charting,1.0,1.0,0
007,formal_template,1.2857,1.2857,0
007,telegraphic_icu,1.3571,1.3571,0
008,clinical_charting,1.375,1.375,0
008,formal_template,1.125,1.125,0
008,telegraphic_icu,1.1875,1.1875,0
009,clinical_charting,1.6,1.6,0
009,formal_template,1.4,1.4,0
009,telegraphic_icu,1.0667,1.0667,0
010,clinical_charting,1.0,1.0,0
010,formal_template,1.4,1.4,0
010,telegraphic_icu,1.2,1.2,0
011,clinical_charting,1.4286,1.4286,0
011,formal_template,1.5,1.5,0
011,telegraphic_icu,1.7857,1.7857,0
012,clinical_charting,1.2,1.2,0
012,formal_template,1.3333,1.3333,0
012,telegraphic_icu,0.9333,0.9333,0
013,clinical_charting,1.25,1.25,0
013,formal_template,1.3333,1.3333,0
013,telegraphic_icu,1.0,1.0,0
014,clinical_charting,1.7143,1.7143,0
014,formal_template,1.4286,1.4286,0
014,telegraphic_icu,1.2857,1.2857,0
015,clinical_charting,1.2,1.2,0
015,formal_template,1.1333,1.1333,0
015,telegraphic_icu,1.7333,1.7333,0
016,clinical_charting,0.875,0.875,0
016,formal_template,1.25,1.25,0
016,telegraphic_icu,1.1875,1.1875,0
017,clinical_charting,1.8571,1.8571,0
017,formal_template,1.7143,1.7143,0
017,telegraphic_icu,2.2143,2.2143,0
018,clinical_charting,1.1333,1.1333,0
018,formal_template,1.2,1.2,0
018,telegraphic_icu,1.0667,1.0667,0
019,clinical_charting,1.9333,1.9333,0
019,formal_template,1.4,1.4,0
019,telegraphic_icu,1.4,1.4,0
020,clinical_charting,1.3333,1.1333,1
020,formal_template,1.5333,1.5333,0
020,telegraphic_icu,1.2,1.2,0
021,clinical_charting,2.1333,1.9333,1
021,formal_template,1.3333,1.3333,0
021,telegraphic_icu,2.4667,2.2667,1
022,clinical_charting,0.9333,0.9333,0
022,formal_template,1.4667,1.4667,0
022,telegraphic_icu,1.0667,1.0667,0
023,clinical_charting,1.6364,1.6364,0
023,formal_template,1.4545,1.4545,0
023,telegraphic_icu,1.3636,1.3636,0
024,clinical_charting,1.5,1.5,0
024,formal_template,1.25,1.25,0
024,telegraphic_icu,1.3333,1.3333,0
025,clinical_charting,0.8571,0.8571,0
025,formal_template,1.2857,1.2857,0
025,telegraphic_icu,1.3571,1.3571,0
026,clinical_charting,1.3846,1.3846,0
026,formal_template,1.8462,1.8462,0
026,telegraphic_icu,1.4615,1.4615,0
027,clinical_charting,1.5714,1.3571,1
027,formal_template,1.5,1.5,0
027,telegraphic_icu,1.5,1.2857,1
028,clinical_charting,1.6,1.6,0
028,formal_template,1.1333,1.1333,0
028,telegraphic_icu,1.1333,1.1333,0
029,clinical_charting,2.0,1.8125,1
029,formal_template,1.625,1.625,0
029,telegraphic_icu,1.6875,1.6875,0
030,clinical_charting,1.0769,1.0769,0
030,formal_template,1.3846,1.3846,0
030,telegraphic_icu,1.0769,1.0769,0
031,clinical_charting,1.1429,1.1429,0
031,formal_template,1.2857,1.2857,0
031,telegraphic_icu,1.7857,1.5714,1
