sample_id,scenario_id,ccer_score,gold_entity_count
scenario_001_hybrid,scenario_001,1.2143,14
scenario_002_hybrid,scenario_002,0.5,14
scenario_003_hybrid,scenario_003,0.4667,15
scenario_004_hybrid,scenario_004,0.6667,15
scenario_005_hybrid,scenario_005,0.4,15
scenario_006_hybrid,scenario_006,0.6667,15
scenario_007_hybrid,scenario_007,0.5,14
scenario_008_hybrid,scenario_008,0.25,16
scenario_009_hybrid,scenario_009,0.7333,15
scenario_010_hybrid,scenario_010,0.5333,15
scenario_011_hybrid,scenario_011,1.1429,14
scenario_012_hybrid,scenario_012,0.4667,15
scenario_013_hybrid,scenario_013,0.9167,12
scenario_014_hybrid,scenario_014,0.5714,14
scenario_015_hybrid,scenario_015,0.8,15
scenario_016_hybrid,scenario_016,0.375,16
scenario_017_hybrid,scenario_017,1.2143,14
scenario_018_hybrid,scenario_018,0.9333,15
scenario_019_hybrid,scenario_019,0.5333,15
scenario_020_hybrid,scenario_020,0.8,15
scenario_021_hybrid,scenario_021,1.0,15
scenario_022_hybrid,scenario_022,0.3333,15
scenario_023_hybrid,scenario_023,0.1818,11
scenario_024_hybrid,scenario_024,0.75,12
scenario_025_hybrid,scenario_025,0.5,14
scenario_026_hybrid,scenario_026,0.7692,13
scenario_027_hybrid,scenario_027,0.9286,14
scenario_028_hybrid,scenario_028,0.3333,15
scenario_029_hybrid,scenario_029,0.75,16
scenario_030_hybrid,scenario_030,0.8462,13
scenario_031_hybrid,scenario_031,0.6429,14
scenario_032_hybrid,scenario_032,0.6923,13
scenario_033_hybrid,scenario_033,0.8,15
scenario_034_hybrid,scenario_034,0.5,14
scenario_035_hybrid,scenario_035,0.8,15
scenario_036_hybrid,scenario_036,0.4667,15
scenario_037_hybrid,scenario_037,0.8333,12
scenario_038_hybrid,scenario_038,0.9231,13
scenario_039_hybrid,scenario_039,0.4286,14
scenario_040_hybrid,scenario_040,0.3077,13
scenario_041_hybrid,scenario_041,0.2857,14
scenario_042_hybrid,scenario_042,0.7857,14
scenario_043_hybrid,scenario_043,0.3077,13
scenario_044_hybrid,scenario_044,0.8571,14
scenario_045_hybrid,scenario_045,0.8125,16
scenario_046_hybrid,scenario_046,0.5833,12
scenario_047_hybrid,scenario_047,0.6,15
scenario_048_hybrid,scenario_048,0.5625,16
scenario_049_hybrid,scenario_049,0.2857,14
scenario_050_hybrid,scenario_050,0.7333,15
scenario_051_hybrid,scenario_051,0.5333,15
scenario_052_hybrid,scenario_052,0.5385,13
scenario_053_hybrid,scenario_053,0.6429,14
scenario_054_hybrid,scenario_054,0.8571,14
scenario_055_hybrid,scenario_055,0.8667,15
scenario_056_hybrid,scenario_056,1.0,15
scenario_057_hybrid,scenario_057,1.1818,11
scenario_058_hybrid,scenario_058,1.0,14
scenario_059_hybrid,scenario_059,0.4,15
scenario_060_hybrid,scenario_060,0.6923,13
scenario_061_hybrid,scenario_061,0.8333,12
scenario_062_hybrid,scenario_062,0.1333,15
scenario_063_hybrid,scenario_063,1.3333,15
scenario_064_hybrid,scenario_064,0.9286,14
scenario_065_hybrid,scenario_065,0.3846,13
scenario_066_hybrid,scenario_066,0.1429,14
scenario_067_hybrid,scenario_067,1.0,14
scenario_068_hybrid,scenario_068,0.8571,14
scenario_069_hybrid,scenario_069,0.25,12
scenario_070_hybrid,scenario_070,1.1429,14
scenario_071_hybrid,scenario_071,1.4286,14
scenario_072_hybrid,scenario_072,1.0769,13
scenario_073_hybrid,scenario_073,0.5,14
scenario_074_hybrid,scenario_074,0.9231,13
scenario_075_hybrid,scenario_075,0.4,15
scenario_076_hybrid,scenario_076,0.6667,15
scenario_077_hybrid,scenario_077,1.375,16
scenario_078_hybrid,scenario_078,0.5625,16
scenario_079_hybrid,scenario_079,1.0,13
scenario_080_hybrid,scenario_080,0.5333,15
scenario_081_hybrid,scenario_081,0.6,15
scenario_082_hybrid,scenario_082,0.3077,13
scenario_083_hybrid,scenario_083,0.4615,13
scenario_084_hybrid,scenario_084,0.6923,13
scenario_085_hybrid,scenario_085,0.5333,15
scenario_086_hybrid,scenario_086,0.8462,13
scenario_087_hybrid,scenario_087,1.25,16
scenario_088_hybrid,scenario_088,1.3077,13
scenario_089_hybrid,scenario_089,0.9333,15
scenario_090_hybrid,scenario_090,0.4167,12
scenario_091_hybrid,scenario_091,0.6429,14
scenario_092_hybrid,scenario_092,0.6923,13
scenario_093_hybrid,scenario_093,0.25,16
scenario_094_hybrid,scenario_094,0.25,16
scenario_095_hybrid,scenario_095,0.3333,15
scenario_096_hybrid,scenario_096,0.4,15
scenario_097_hybrid,scenario_097,0.4167,12
scenario_098_hybrid,scenario_098,0.2667,15
scenario_099_hybrid,scenario_099,0.2143,14
scenario_100_hybrid,scenario_100,0.5333,15
