entity_type,gold_n,micro_ccer_hybrid,micro_ccer_formal_template,micro_ccer_clinical_charting,hybrid_minus_formal
clinical_status,100,0.06,0.0,0.24,0.06
device,136,1.1471,1.6176,0.8897,-0.4704999999999999
dose,100,0.94,1.82,1.04,-0.8800000000000001
frequency,99,1.3434,0.6869,1.1919,0.6565
intake_output,75,0.2133,0.1333,0.3733,0.07999999999999999
intervention,39,0.5897,0.6923,1.2051,-0.10260000000000002
medication_identity,100,0.11,0.1,0.1,0.009999999999999995
notification,66,0.0303,0.1212,0.2424,-0.09090000000000001
route,100,1.23,1.77,1.01,-0.54
symptom,100,0.69,1.13,1.07,-0.43999999999999995
vital_sign,500,0.62,0.752,1.954,-0.132
