scenario_id,style_condition,ccer_score,gold_entity_count,hallucination_count,medication_identity_error_count,error_type_profile,entity_types_present
001,clinical_charting,1.1429,14,1,0,"{""omission"": 2, ""numeric_error"": 3, ""hallucination"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
001,formal_template,1.5714,14,1,0,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
001,telegraphic_icu,0.5714,14,0,0,"{""numeric_error"": 2, ""omission"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
002,clinical_charting,1.2857,14,0,0,"{""omission"": 6, ""numeric_error"": 2}","[""clinical_status"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
002,formal_template,1.3571,14,1,0,"{""omission"": 8, ""hallucination"": 1}","[""clinical_status"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
002,telegraphic_icu,0.8571,14,0,0,"{""omission"": 6}","[""clinical_status"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
003,clinical_charting,1.1333,15,0,0,"{""omission"": 7, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
003,formal_template,1.2667,15,0,0,"{""omission"": 8, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
003,telegraphic_icu,1.3333,15,1,0,"{""omission"": 7, ""hallucination"": 1, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
004,clinical_charting,0.9333,15,1,0,"{""hallucination"": 1, ""numeric_error"": 1, ""omission"": 4}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
004,formal_template,1.1333,15,1,0,"{""omission"": 7, ""hallucination"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
004,telegraphic_icu,1.2667,15,2,0,"{""hallucination"": 2, ""omission"": 5, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
005,clinical_charting,0.9333,15,0,0,"{""omission"": 4, ""numeric_error"": 2}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
005,formal_template,1.3333,15,0,0,"{""omission"": 10}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
005,telegraphic_icu,0.9333,15,0,0,"{""omission"": 4, ""numeric_error"": 2}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]"
