scenario_id,style_condition,ccer_score_v3,gold_entity_count_v3,hallucination_count_v3,medication_identity_error_count,error_type_profile_v3,entity_types_present,ccer_score_v2,gold_entity_count_v2,hallucination_count_v2,error_type_profile_v2,ccer_diff
001,clinical_charting,1.1429,14,1,0,"{""omission"": 2, ""numeric_error"": 3, ""hallucination"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.6923,13,3,"{""omission"": 2, ""numeric_error"": 3, ""hallucination"": 3}",-0.5493999999999999
001,formal_template,1.5714,14,1,0,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",2.1538,13,3,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 3}",-0.5824
001,telegraphic_icu,0.5714,14,0,0,"{""numeric_error"": 2, ""omission"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.0769,13,2,"{""numeric_error"": 2, ""omission"": 1, ""hallucination"": 2}",-0.5055
002,clinical_charting,1.2857,14,0,0,"{""omission"": 6, ""numeric_error"": 2}","[""clinical_status"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.5,12,0,"{""omission"": 6, ""numeric_error"": 2}",-0.21429999999999993
002,formal_template,1.3571,14,1,0,"{""omission"": 8, ""hallucination"": 1}","[""clinical_status"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.8333,12,2,"{""omission"": 8, ""hallucination"": 2}",-0.47619999999999996
002,telegraphic_icu,0.8571,14,0,0,"{""omission"": 6}","[""clinical_status"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.6667,12,2,"{""omission"": 7, ""hallucination"": 2}",-0.8096000000000001
003,clinical_charting,1.1333,15,0,0,"{""omission"": 7, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",2.3571,14,4,"{""omission"": 9, ""numeric_error"": 1, ""hallucination"": 4}",-1.2238
003,formal_template,1.2667,15,0,0,"{""omission"": 8, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.7857,14,2,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 2}",-0.5190000000000001
003,telegraphic_icu,1.3333,15,1,0,"{""omission"": 7, ""hallucination"": 1, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.8571,14,3,"{""omission"": 7, ""hallucination"": 3, ""numeric_error"": 1}",-0.5238
004,clinical_charting,0.9333,15,1,0,"{""hallucination"": 1, ""numeric_error"": 1, ""omission"": 4}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.5385,13,3,"{""hallucination"": 3, ""numeric_error"": 1, ""omission"": 4}",-0.6052
004,formal_template,1.1333,15,1,0,"{""omission"": 7, ""hallucination"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.7692,13,3,"{""omission"": 7, ""hallucination"": 3}",-0.6359000000000001
004,telegraphic_icu,1.2667,15,2,0,"{""hallucination"": 2, ""omission"": 5, ""numeric_error"": 1}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""intervention"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.6923,13,3,"{""hallucination"": 3, ""omission"": 5, ""numeric_error"": 1}",-0.4256
005,clinical_charting,0.9333,15,0,0,"{""omission"": 4, ""numeric_error"": 2}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.7692,13,3,"{""omission"": 4, ""numeric_error"": 2, ""hallucination"": 3}",-0.8359000000000001
005,formal_template,1.3333,15,0,0,"{""omission"": 10}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",2.2308,13,3,"{""omission"": 10, ""hallucination"": 3}",-0.8975
005,telegraphic_icu,0.9333,15,0,0,"{""omission"": 4, ""numeric_error"": 2}","[""clinical_status"", ""device"", ""dose"", ""frequency"", ""intake_output"", ""medication_identity"", ""notification"", ""route"", ""symptom"", ""vital_sign""]",1.9231,13,3,"{""omission"": 5, ""numeric_error"": 2, ""hallucination"": 3}",-0.9898
